text;count;keyword
lapangan;139;0
jateng;139;1
ulang;139;0
rais;138;0
kekuatan;138;0
laut;138;0
hatinya;138;0
film;138;0
hancur;138;1
import;138;1
dengar;137;0
jawaban;137;0
lyingawardsforpresident;137;1
pakde;137;0
dibayar;137;0
sekedar;137;0
survei;137;1
kampung;137;0
kaget;137;0
kuda;136;0
kabar;136;0
hitam;136;0
2024;136;1
membawa;136;0
manis;136;0
kpujangancurang;136;1
gambar;136;0
angin;136;0
mengakui;136;0
khusus;135;0
umum;135;0
fadli;135;0
haji;135;0
president;135;1
jatuh;134;0
kerjaan;134;0
wanita;134;0
by;134;0
ka;134;0
zon;134;0
jabar;134;0
smoga;134;0
meski;134;0
seseorang;133;0
opini;133;0
gerakan;133;0
22;133;0
ae;132;0
ayat;132;0
sebaiknya;132;0
one;132;0
input;132;0
iki;132;0
alat;132;0
terbuka;132;0
lahan;132;0
boneka;131;0
generasi;131;0
real;131;0
biaya;131;0
berlaku;131;0
p;131;0
twit;131;0
entah;131;0
oke;131;0
murah;130;0
kira2;130;0
arah;130;0
buktikan;130;0
bacot;130;0
memalukan;130;0
azab;130;0
wajah;130;0
duduk;129;0
pdhl;129;0
santun;129;0
kaki;129;0
domba;129;0
ia;129;0
bergerak;129;0
smp;129;0
sama2;129;0
hp;129;0
baper;128;0
waspada;128;0
sebelumnya;128;0
diganti;128;0
keadaan;128;0
teroris;128;0
emosi;128;0
panas;128;0
rp;127;0
faham;127;0
m;127;0
pan;127;0
soeharto;127;0
pantesan;127;1
yaitu;127;0
menunggu;127;0
krna;126;0
ngk;126;0
gunakan;126;0
sd;126;0
buzzer;126;1
ny;126;0
bubar;126;0
awas;126;0
informasi;126;0
jokowimundurlah;126;1
ogah;126;0
uaspilihprabowo;126;1
listrik;126;0
kerjanya;125;0
iblis;125;0
kt;125;0
sebar;125;0
laporkan;125;0
wes;125;0
bbm;124;1
kenyataan;124;0
ratusan;124;0
bhw;124;0
bogor;124;0
dibawah;123;0
berbohong;123;0
golput;123;1
pingin;123;0
dlu;123;0
sah;123;0
tutup;123;0
lancar;123;0
biadab;123;0
amiin;123;0
ngaji;123;0
percuma;122;0
kaga;122;0
menikmati;122;0
nasib;122;0
jadikan;122;0
dng;122;0
utama;122;0
belah;122;0
benar2;122;0
seneng;122;0
monas;122;0
gas;122;0
bau;122;0
love;122;0
bank;121;0
haram;121;0
rakyatrindupemimpinjujur;121;1
beras;121;0
preman;121;0
denger;121;0
buku;121;0
kapal;121;0
nalar;121;0
tingkat;121;0
menilai;121;0
sombong;121;0
diberikan;121;0
kudu;121;0
adilmakmur;121;1
mentri;120;0
belakang;120;0
mimpi;120;0
2019prabowosandimenang;120;1
malaysia;120;0
meminta;120;0
dibuat;120;0
20;119;0
darah;119;0
pergi;119;0
bakar;119;0
gara2;119;0
hoaks;119;0
berkah;119;0
palu;119;0
sebab;119;0
gede;119;0
rela;119;0
bpjs;119;0
titik;119;0
your;119;0
sistem;118;0
gtu;118;0
shutdownjokowi;118;1
opo;118;0
dipakai;118;0
bandung;118;0
said;118;0
rupiah;118;0
sosial;118;0
iklan;118;0
as;118;0
api;118;0
pemilih;117;0
bravo;117;0
hny;117;0
kuasa;117;0
melalui;117;0
pendidikan;117;0
keliatan;117;0
provokator;117;0
budaya;117;0
sejati;117;0
pbb;117;0
ide;117;0
tenggelamkan;117;0
reuni;117;0
jejak;117;0
urus;117;0
