Kota,Paslon 1,Paslon 2,Total,Laju Pertumbuhan,Laki,Perempuan,Umur,Umur Squared,APM SD,APM SMP,APM SMA,Literate,TPAK,pendidikan_SD,pendidikan_SMP,pendidikan_SMA,pendidikan_Universitas,TK,SD,SMP,SMA,SMK,Universitas,Pengeluaran Bulanan,Persentase Kemiskinan,Indeks Pembangunan Manusia,DPT,Sentiment,Weighted Sentiment,Partisipasi
Sumedang,"309,241","407,784","717,025",0.22,"573,199","579,201",34.46095887,1187.557686,95.76,88.29,44.2,98.83524115,63.9,12.50796522,5.948653534,7.668528701,29.8115264,264,599,111,26,137,8,"1,207,804",9.05,71.46,"864,168",-0.29134,-0.798078799,0.82972871
Indramayu,"704,388","281,587","985,975",0.2,"890,102","838,367",32.75024429,1072.578501,98.69,77.22,55.89,91.27,67.69,55.69467479,16.52696221,23.04294231,4.735420682,415,895,208,53,107,9,"1,660,560",11.11,66.97,"1,353,210",-0.29134,-0.798078799,0.728619357
Subang,"536,458","392,636","929,094",1.06,"805,976","789,849",34.03986151,1158.712172,98.88,79.74,51.82,96.86,67.67,47.94993666,21.56428991,24.35324182,6.13253162,320,879,163,47,58,8,"1,228,740",8.12,68.69,"1,149,540",-0.29134,-0.798078799,0.808231119
Purwakarta,"156,095","405,926","562,021",1.48,"489,192","473,701",30.3369471,920.3303591,95.51,72.42,56.07,98.98,63.88,35.63436938,19.81217362,36.90934978,7.644107214,172,408,108,25,111,12,"1,228,740",7.48,70.67,"687,280",-0.29134,-0.798078799,0.81774677
Karawang,"584,803","779,480","1,364,283",1.42,"1,205,186","1,148,729",30.90411209,955.0641438,97.99,79.88,56.69,97.21,63.57,38.69749604,16.36076613,38.09654619,6.845191643,335,904,165,49,184,11,"1,224,815",7.39,70.86,"1,669,959",-0.29134,-0.798078799,0.816955985
Bekasi,"591,107","1,042,051","1,633,158",3.15,"1,914,591","1,849,295",28.17271804,793.7020416,99.03,80.82,57.61,98.48,64.02,21.6107569,13.54139426,49.22460806,15.62324078,675,974,337,114,102,15,"1,519,651",4.01,73.99,"2,054,407",-0.29134,-0.798078799,0.794953483
Bandung Barat,"358,905","649,894","1,008,799",0.96,"861,529","838,367",30.66228934,940.1759876,97.76,77.29,49.58,99.51724565,61.97,47.32013753,21.20903149,24.70790562,6.762925364,219,709,170,61,30,5,"980,263",9.38,68.27,"1,190,084",-0.29134,-0.798078799,0.847670417
Pangandaran,"164,069","96,966","261,035",1.02,"198,927","200,357",35.87330572,1286.894063,95.19,84.72,67.92,95.02542747,75.08,6.070846337,2.716483131,2.606677834,13.09298174,118,283,53,6,0,5,"1,155,705",7.71,68.21,"320,118",-0.29134,-0.798078799,0.815433684
Kota Bogor,"228,194","399,224","627,418",1.39,"563,426","548,655",30.54980617,933.2906573,95.47,74.91,62.21,98.66,63.68,6.936952184,4.10413865,11.46644617,30.73018993,156,268,121,54,102,25,"1,747,986",5.77,76.23,"716,473",-0.29134,-0.798078799,0.87570362
Kota Sukabumi,"61,607","138,644","200,251",1.2,"166,211","162,469",31.53973774,994.7550566,96.95,82.19,71.28,99.4,62.48,29.15884207,18.83751909,37.39042854,14.61321031,61,120,44,18,32,15,"1,557,065",6.67,74.31,"232,691",-0.29134,-0.798078799,0.860587646
